year,level,subject,paper,question,text,coleman_liau,flesch_kincaid,gunning_fog,total_tokens,positive_tokens,negative_tokens,neutral_tokens,compound_sentiment_score,intent,intent_certainty,named_entities
1956,Higher Grade,ART,5,1,Answer briefly any five of the following :— ,6.24,3.7,2.8,4,0,0,4,0.0,describe,0.392004132270813,
1956,Higher Grade,ART,5,1a,Whom do you consider to be the two most important English landscape painters of the first half of the 19th century ? Give two examples of the work of each.,6.95,5.4,5.8,14,1,0,13,0.2023,discuss,0.9666231274604797,
1956,Higher Grade,ART,5,1b,Describe either “ The Surrender of Breda ” by Velasquez or “ The Rout of San Romano ” by Uccello.,8.87,6.0,6.4,9,0,0,9,0.0,discuss,0.8332310914993286,
1956,Higher Grade,ART,5,1c,To what school of painting did the brothers Van Eyck belong ? Describe one painting by either.,7.9,2.9,3.2,10,0,0,10,0.0,discuss,0.6397947072982788,
1956,Higher Grade,ART,5,1d,"Name any three French post-impressionist painters. Which of them had, in your opinion, the gi'eatest influence on later painting ? Give one example of his work.",10.34,4.2,6.52,14,0,0,14,0.0,discuss,0.6501572728157043,
1956,Higher Grade,ART,5,1e,Which Scottish painter of the late 18th and early 19th centuries is comparable with Romney or Reynolds as a painter of portraits ? What are the chief characteristics of his style ?,10.55,8.0,10.0,15,0,0,15,0.0,discuss,0.6606329083442688,
1956,Higher Grade,ART,5,1f,Name two Scottish artists whose names are associated with that of S. J. Peploe. What school of painting had the greatest influence on their work ?,8.98,4.6,8.2,14,1,0,13,0.6369,discuss,0.689088761806488,
1956,Higher Grade,ART,5,1g,Sketch the main features of the west front of a typical Gothic cathedral.,8.63,6.0,8.28,8,0,0,8,0.0,argue,0.7749848961830139,
1956,Higher Grade,ART,5,1h,Who designed the dome of St. Peter’s at Rome ? Name two other Italian Renaissance architects and give one example of the work of each.,5.99,2.9,4.87,14,0,0,14,0.0,discuss,0.906935453414917,
1956,Higher Grade,ART,5,1k,What sources of decoration were used by the Egyptians ? Sketch the capital of an Egyptian column.,9.0,4.1,5.7,8,0,0,8,0.0,compare,0.8439605832099915,
1956,Higher Grade,ART,5,1l,Who was responsible for designing many London churches after the fire of 1666 ? Give two examples of his work and state the style of architecture.,9.44,4.6,8.2,14,1,1,12,-0.01090000000000002,discuss,0.7481142282485962,
1956,Higher Grade,ART,5,1m,What features are typical of Scottish domestic architecture ?,18.05,12.3,18.2,5,0,0,5,0.0,compare,0.9682817459106445,
1956,Higher Grade,ART,5,1n,In what architectural styles were the following built:—Roslin Chapel; Glamis Castle ; Kelso Abbey ; Paisley Abbey ; Culzean Castle ?,18.27,9.9,9.15,13,0,0,13,0.0,describe,0.4080595076084137,
1956,Higher Grade,ART,5,2,Compare the religious paintings of El Greco with those of Rembrandt or of Stanley Spencer.,11.75,8.0,8.67,8,0,0,8,0.0,discuss,0.9972962737083435,El Greco {1} Stanley Spencer {1}
1956,Higher Grade,ART,5,3,Give an account of 18th century British portraiture.,11.93,6.4,8.2,6,0,0,6,0.0,reason,0.9429739117622375,
1956,Higher Grade,ART,5,4,Only a few paintings by Leonardo Da Vinci are known to exist. Suggest reasons for this and describe in detail either “ The Virgin of the Rocks ” or “ The Last Supper ”.,9.64,5.6,6.0,15,0,0,15,0.0,discuss,0.7255197763442993,Leonardo Da Vinci {1}
1956,Higher Grade,ART,5,5,"Choose two of the following movements, and write a brief note on each, mentioning the outstanding artists :—Impressionism ; Cubism ; Surrealism.",10.94,12.3,16.0,13,2,0,11,0.40735000000000005,reason,0.7782781720161438,
1956,Higher Grade,ART,5,6,Name any three buildings which form part of the Acropolis at Athens. Describe one in detail and illustrate your answer with sketches.,8.49,5.2,8.04,13,0,0,13,0.0,discuss,0.667296290397644,
1956,Higher Grade,ART,5,7,"Draw a simple plan of the buildings which form a monastic, cathedral or abbey group. Name the various parts.",9.09,3.5,5.91,12,0,0,12,0.0,reason,0.7183822393417358,
1956,Higher Grade,ART,5,8,What materials and methods of construction were used by the Romans ? What influence did they have on later architectural styles ?,10.45,8.4,12.0,9,0,0,9,0.0,compare,0.9936483502388,
1956,Higher Grade,ART,5,9,What effect did the Renaissance have on architecture in Europe ? Describe any outstanding example of Scottish or English Renaissance architecture.,9.66,9.6,8.0,11,1,0,10,0.6124,discuss,0.84284907579422,Renaissance {1}
1956,Higher Grade,ART,5,10,"On the single sheet of cartridge paper provided make two drawings, one of each model. Each drawing should occupy approximately half the sheet of cartridge paper provided. Including any rest periods (3 minutes) each pose will be of 25 minutes duration, and. 10 minutes will also be allowed for the posing of the second model. N.B.—A finished drawing of each model is not desired. Any object whose sole function is to enable the model to maintain the pose should be indicated but not drawn in detail.",9.3,6.5,7.58,50,1,0,49,0.2732,other,0.6911252737045288,
