year,level,subject,paper,question,text,coleman_liau,flesch_kincaid,gunning_fog,total_tokens,positive_tokens,negative_tokens,neutral_tokens,compound_sentiment_score,intent,intent_certainty,named_entities
1956,Higher Grade,AGRICULTURE,1,1. ,"Explain what is meant by sand and clay in relation to soils, ",6.86,4.4,8.13,6,0,0,6,0.0,reason,0.9912657141685486,
1956,Higher Grade,AGRICULTURE,1,1. b,Indicate briefly how you could determine approximately in the laboratory the percentage of water and humus in a sample of soil.,12.01,11.5,17.92,11,0,0,11,0.0,reason,0.8012557029724121,
1956,Higher Grade,AGRICULTURE,1,1. c,"Give, with reasons, a rotation which is suitable for a light soil, and one which is suitable for a heavy soil. Discuss any other factors which might influence your choice of rotations.",9.28,6.0,10.15,16,0,0,16,0.0,describe,0.48176854848861694,
1956,Higher Grade,AGRICULTURE,1,2. ,"Give the chemical formulae of the following substances and explain any connection which they have with agriculture :— calcium bicarbonate, calcium cyanamide, monoealcic phosphate. Calculate from the formulae the percentage of calcium in each of these substances. ",9.79,15.0,18.31,19,0,0,19,0.0,discuss,0.476774662733078,monoealcic phosphate {1}
1956,Higher Grade,AGRICULTURE,1,2. b,"Describe how shell lime, ground lime, and ground limestone are prepared and compare the effectiveness of these three forms of lime.",12.53,7.9,10.3,13,1,0,12,0.2263,discuss,0.8622116446495056,monoealcic phosphate {1}
1956,Higher Grade,AGRICULTURE,1,3. ,"Describe laboratory tests to determine whether the following are present in an artificial fertiliser :— calcium, phosphate, potash. ",12.84,13.5,18.56,12,0,0,12,0.0,reason,0.9292707443237305,
1956,Higher Grade,AGRICULTURE,1,3. b,Describe fully the Gerber method of determining the percentage of butter fat in milk.,11.53,8.8,11.31,9,0,0,9,0.0,reason,0.6108525991439819,
1956,Higher Grade,AGRICULTURE,1,4. ,Give a list of the essential food constituents of farm animals and explain the purpose which each constituent serves in animal nutrition. ,9.75,11.9,17.89,13,0,0,13,0.0,reason,0.8450985550880432,
1956,Higher Grade,AGRICULTURE,1,4. b,"Explain what is meant by  energy value, starch,  starch equivalent, protein, protein equivalent as applied to feeding stuffs.",14.96,10.3,9.42,13,2,0,11,0.3066,reason,0.9890273809432983,
1956,Higher Grade,AGRICULTURE,1,5,"Make a labelled sketch and give an example of the use in agriculture of four of the following :—- pawl and ratchet gear, differential gear box, cam, governor, hygrometer.",10.66,13.0,15.49,18,0,0,18,0.0,discuss,0.7439032793045044,ratchet gear {1}
1956,Higher Grade,AGRICULTURE,1,6. ,"Discuss the possible orders of firing in a 4-cylinder 4-stroke internal combusion engine, the cylinders of which are in line. ",10.94,12.3,16.0,11,0,1,10,-0.34,reason,0.9917203187942505,
1956,Higher Grade,AGRICULTURE,1,6. b,"Show what relation exists in this type of engine between the mean effective pressure in the cylinder, the engine details and dimensions, and the power produced.",12.48,12.3,16.55,14,1,1,12,0.09035000000000001,discuss,0.7579333782196045,
1956,Higher Grade,AGRICULTURE,1,7,"Explain the meaning and the agricultural significance of five of the following terms :— relative humidity of the atmosphere, the water barometer, anticyclone, kilowatt-hour, ft H value, malleable iron, osmosis.",12.7,20.5,24.01,20,2,0,18,0.3066,reason,0.775309145450592,
